# Casbin ABAC policy — generated from authorization-matrix.md
# Format: p, role, resource, action, condition
#
# Layer convention:
#   Policy layer  — condition evaluated by Casbin enforcer per request (resource-attribute match).
#   Query layer   — scope filter applied inside the repository/service (not visible to Casbin).
#                   Marked "true" here; backend MUST apply the corresponding query filter.
#
# Condition vocabulary:
#   true                         — access granted; all scope/filter logic at query layer
#   r.obj.assignee == r.sub.id   — resource-attribute match; enforcement point must hydrate obj.assignee
#
# Resources and actions:
#   broker          read, search, create, update, delete
#   contact         read, create, update, delete
#   submission      read, transition
#   renewal         read, transition
#   dashboard_kpi   read
#   dashboard_pipeline  read
#   dashboard_nudge read
#   task            read
#   timeline_event  read
#
#   Note on broker "read" vs "search":
#     read   — fetch a single broker by ID (e.g. GET /brokers/{id})
#     search — list/search brokers by name or license (e.g. GET /brokers?q=...)
#     The matrix grants both to DistributionUser, DistributionManager, RelationshipManager, Admin.
#     Underwriter receives read only — no list/search access.
#
# Roles: DistributionUser, DistributionManager, Underwriter, RelationshipManager, ProgramManager, Admin, BrokerUser
# ExternalUser — no policy lines; implicit DENY on all resources (InternalOnly rule, §3).
#
# Open Questions (see authorization-matrix.md §4) — rows omitted until resolved:
#   OQ-1: ProgramManager broker:create, update, delete
# Resolved: OQ-4 (RelationshipManager broker:delete → DENY), OQ-5 (DistributionUser/RelationshipManager contact:delete → DENY)

# ─────────────────────────────────────────────────────────────────────────────
# §2.1 Broker
# Scope constraint (all ALLOW reads): results limited to authorized entities.
# Enforced at query layer. Source: F0002-S0002 AC4; BLUEPRINT §4.4.
# DistributionUser scope: assigned opportunities only. DistributionManager: region-scoped.
# ─────────────────────────────────────────────────────────────────────────────

# DistributionUser — create, read, search, update, delete.
p, DistributionUser, broker, create, true
p, DistributionUser, broker, read,   true
p, DistributionUser, broker, search, true
p, DistributionUser, broker, update, true
p, DistributionUser, broker, delete, true

# DistributionManager — create, read, search, update, delete.
p, DistributionManager, broker, create, true
p, DistributionManager, broker, read,   true
p, DistributionManager, broker, search, true
p, DistributionManager, broker, update, true
p, DistributionManager, broker, delete, true

# Underwriter — read by ID only (submission review context). No search, no write.
# Source: BLUEPRINT §4.4.
p, Underwriter,      broker, read,   true

# RelationshipManager — create, read, search, update. delete DENY (resolved — authorization-matrix.md §2.1).
p, RelationshipManager, broker, create, true
p, RelationshipManager, broker, read,   true
p, RelationshipManager, broker, search, true
p, RelationshipManager, broker, update, true

# ProgramManager — read only (implied by broker activity feed, F0001-S0004).
# Scope: brokers within the user's programs; enforced at query layer.
# create/update/delete NOT YET SPECIFIED (OQ-3).
p, ProgramManager,   broker, read,   true

# Admin — full unscoped access. Source: F0002-S0001/F0002-S0002 Role Visibility; BLUEPRINT §4.4.
p, Admin,            broker, create,     true
p, Admin,            broker, read,       true
p, Admin,            broker, search,     true
p, Admin,            broker, update,     true
p, Admin,            broker, delete,     true
p, Admin,            broker, reactivate, true

# broker:reactivate — reverse of deactivate (F0002-S0008). Manager authority required.
# DistributionUser and RelationshipManager explicitly excluded: structural record change requires manager authority.
p, DistributionManager, broker, reactivate, true

# ─────────────────────────────────────────────────────────────────────────────
# §2.2 Contact
# Scope constraint (all ALLOW reads): results limited to authorized entities.
# Enforced at query layer. Source: BLUEPRINT §4.4.
# DistributionUser scope: assigned opportunities only. DistributionManager: region-scoped.
# ─────────────────────────────────────────────────────────────────────────────

# DistributionUser — create, read, update. delete DENY (resolved — authorization-matrix.md §2.2).
p, DistributionUser, contact, create, true
p, DistributionUser, contact, read,   true
p, DistributionUser, contact, update, true

# DistributionManager — create, read, update, delete.
p, DistributionManager, contact, create, true
p, DistributionManager, contact, read,   true
p, DistributionManager, contact, update, true
p, DistributionManager, contact, delete, true

# Underwriter — read only. No write. Source: BLUEPRINT §4.4.
p, Underwriter,      contact, read,   true

# RelationshipManager — create, read, update. delete DENY (resolved — authorization-matrix.md §2.2).
p, RelationshipManager, contact, create, true
p, RelationshipManager, contact, read,   true
p, RelationshipManager, contact, update, true

# ProgramManager — read only (program-scoped). No write permissions in MVP.
p, ProgramManager, contact, read,   true

# Admin — full unscoped access. Source: BLUEPRINT §4.4.
p, Admin,            contact, create, true
p, Admin,            contact, read,   true
p, Admin,            contact, update, true
p, Admin,            contact, delete, true

# ─────────────────────────────────────────────────────────────────────────────
# §2.3 Submission — Read / Transition
# Transitions must follow workflow rules (BLUEPRINT §4.3).
# DistributionUser scope: assigned opportunities only. DistributionManager: region-scoped.
# ─────────────────────────────────────────────────────────────────────────────

p, DistributionUser,    submission, read,       true
p, DistributionUser,    submission, transition, true
p, DistributionManager, submission, read,       true
p, DistributionManager, submission, transition, true
p, Underwriter,         submission, read,       true
p, Underwriter,         submission, transition, true
p, RelationshipManager, submission, read,       true
p, ProgramManager,      submission, read,       true
p, Admin,               submission, read,       true
p, Admin,               submission, transition, true

# ─────────────────────────────────────────────────────────────────────────────
# §2.4 Renewal — Read / Transition
# Transitions must follow workflow rules (BLUEPRINT §4.3).
# DistributionUser scope: assigned opportunities only. DistributionManager: region-scoped.
# ─────────────────────────────────────────────────────────────────────────────

p, DistributionUser,    renewal, read,       true
p, DistributionUser,    renewal, transition, true
p, DistributionManager, renewal, read,       true
p, DistributionManager, renewal, transition, true
p, Underwriter,         renewal, read,       true
p, Underwriter,         renewal, transition, true
p, RelationshipManager, renewal, read,       true
p, ProgramManager,      renewal, read,       true
p, Admin,               renewal, read,       true
p, Admin,               renewal, transition, true

# ─────────────────────────────────────────────────────────────────────────────
# §2.5 Dashboard — KPI Cards
# Read-only. No mutations from this view (F0001-S0001 AC Checklist).
# Scope enforced at query layer per role:
#   DistributionUser    → assigned opportunities only
#   DistributionManager → region-scoped
#   Underwriter         → submissions assigned to or accessible by user
#   RelationshipManager → managed broker relationships
#   ProgramManager      → user's programs
#   Admin               → unscoped
# Source: F0001-S0001 Role Visibility.
# ─────────────────────────────────────────────────────────────────────────────

p, DistributionUser,    dashboard_kpi, read, true
p, DistributionManager, dashboard_kpi, read, true
p, Underwriter,         dashboard_kpi, read, true
p, RelationshipManager, dashboard_kpi, read, true
p, ProgramManager,      dashboard_kpi, read, true
p, Admin,               dashboard_kpi, read, true

# ─────────────────────────────────────────────────────────────────────────────
# §2.6 Dashboard — Pipeline Summary
# Read-only. No mutations from this view (F0001-S0002 AC Checklist).
# Non-terminal status filter enforced at query layer (F0001-S0002 Validation Rules).
# Scope enforced at query layer per role (same scoping as §2.5).
# Source: F0001-S0002 Role Visibility.
# ─────────────────────────────────────────────────────────────────────────────

p, DistributionUser,    dashboard_pipeline, read, true
p, DistributionManager, dashboard_pipeline, read, true
p, Underwriter,         dashboard_pipeline, read, true
p, RelationshipManager, dashboard_pipeline, read, true
p, ProgramManager,      dashboard_pipeline, read, true
p, Admin,               dashboard_pipeline, read, true

# ─────────────────────────────────────────────────────────────────────────────
# §2.7 Dashboard — Nudge Cards
# Read-only. No persisted mutations in MVP (F0001-S0005 AC Checklist).
# Session-dismiss only; dismiss does not require audit.
# Query-layer filters (all enforced in nudge service, not here):
#   Overdue task nudges    → tasks where assignee == authenticated user AND soft-deleted = false
#   Stale submission nudges → submissions within user's scope AND soft-deleted = false
#   Upcoming renewal nudges → renewals within user's scope
